epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1569.89,0.9187,3.0455,1.29268,0.94992,0.19124,0.37899,0.27861,0.84448,3.84557,1.27703,0.000366027,0.000366027,0.000366027
2,2947.61,0.93265,1.99902,1.26677,0.71934,0.43627,0.45518,0.31028,1.03955,2.75984,1.56678,0.000699911,0.000699911,0.000699911
3,4467.75,0.95812,1.69487,1.28358,0.55855,0.48652,0.42072,0.27052,1.1146,3.60187,1.67329,0.000997131,0.000997131,0.000997131
4,6929.12,0.96896,1.53141,1.29493,0.63744,0.40278,0.45174,0.31544,0.99162,2.33851,1.40591,0.000946016,0.000946016,0.000946016
5,8905.56,0.91211,1.32237,1.24212,0.71958,0.54081,0.52523,0.37542,0.92021,1.68172,1.39514,0.000891022,0.000891022,0.000891022
6,10413.5,0.88576,1.20053,1.24544,0.85467,0.45363,0.52562,0.39217,0.86089,1.46362,1.30363,0.000836027,0.000836027,0.000836027
7,11861.3,0.86287,1.11347,1.22845,0.79035,0.59471,0.60037,0.44002,0.85936,1.28778,1.33745,0.000781033,0.000781033,0.000781033
8,13157.1,0.86804,1.08152,1.218,0.75026,0.59167,0.59642,0.43652,0.85497,1.2325,1.32108,0.000726038,0.000726038,0.000726038
9,14445,0.80607,0.97427,1.19696,0.82519,0.57092,0.58823,0.43664,0.83789,1.15851,1.28519,0.000671044,0.000671044,0.000671044
10,16110.1,0.80119,0.93371,1.18394,0.77838,0.60501,0.61101,0.46769,0.78496,1.1097,1.24409,0.000616049,0.000616049,0.000616049
11,28253.1,0.7187,0.95518,1.14752,0.83307,0.61993,0.63532,0.47055,0.78183,1.11799,1.26973,0.000561055,0.000561055,0.000561055
12,30253.6,0.68105,0.82874,1.1356,0.87645,0.61085,0.66085,0.5095,0.75857,0.88225,1.20527,0.00050606,0.00050606,0.00050606
13,32252.7,0.66659,0.78339,1.11494,0.74266,0.59244,0.59015,0.45513,0.74778,1.08192,1.20336,0.000451066,0.000451066,0.000451066
14,34309.3,0.63429,0.7347,1.08665,0.84557,0.61017,0.62949,0.4987,0.73191,0.90015,1.18752,0.000396071,0.000396071,0.000396071
15,35841.3,0.60419,0.67612,1.08248,0.87043,0.60798,0.63834,0.51421,0.67829,0.84779,1.14996,0.000341077,0.000341077,0.000341077
16,37344.6,0.59475,0.65273,1.07488,0.90106,0.61187,0.66572,0.53302,0.68301,0.78185,1.14623,0.000286083,0.000286083,0.000286083
17,70457.4,0.5635,0.61354,1.04366,0.88035,0.60483,0.65589,0.52554,0.67111,0.78679,1.14656,0.000231088,0.000231088,0.000231088
18,71908.9,0.54142,0.57618,1.03191,0.88063,0.62919,0.66151,0.53565,0.6605,0.77103,1.13227,0.000176094,0.000176094,0.000176094
19,73612,0.53273,0.55662,1.02718,0.89242,0.62785,0.67211,0.54125,0.67009,0.75505,1.139,0.000121099,0.000121099,0.000121099
20,75264.2,0.52457,0.54372,1.03533,0.89621,0.628,0.67513,0.54892,0.63311,0.7374,1.13422,6.61045e-05,6.61045e-05,6.61045e-05
